address_id,address,postcode,state,country,property_valuation
1,0 3rd Road,4060,QLD,Australia,9
2,0 American Ash Parkway,3175,VIC,Australia,7
3,0 Arapahoe Court,4305,QLD,Australia,3
4,0 Bay Center,3196,VIC,Australia,6
5,0 Blaine Point,3183,VIC,Australia,7
6,0 Brown Trail,2203,NSW,Australia,9
7,0 Butterfield Junction,2340,NSW,Australia,5
8,0 Caliangt Pass,2530,NSW,Australia,7
9,0 Canary Parkway,2506,NSW,Australia,9
10,0 Carey Drive,4110,QLD,Australia,4
11,0 Coolidge Avenue,4122,QLD,Australia,8
12,0 Corben Court,3121,VIC,Australia,11
13,0 Darwin Junction,2747,NSW,Australia,9
14,0 David Terrace,3204,VIC,Australia,11
15,0 Debs Lane,3204,VIC,Australia,7
16,0 Declaration Center,2250,NSW,Australia,10
17,0 Delladonna Parkway,3189,VIC,Australia,10
18,0 Dunning Plaza,2462,NSW,Australia,2
19,0 Erie Lane,4405,QLD,Australia,1
20,0 Evergreen Road,3037,VIC,Australia,7
21,0 Fremont Court,3023,VIC,Australia,7
22,0 Fulton Drive,3806,VIC,Australia,8
23,0 Gateway Road,3149,VIC,Australia,12
24,0 Golden Leaf Crossing,2033,New South Wales,Australia,9
25,0 Golf Lane,2120,NSW,Australia,11
26,0 Graceland Plaza,2515,NSW,Australia,10
27,0 Graedel Drive,4817,QLD,Australia,4
28,0 Grasskamp Pass,3170,VIC,Australia,10
29,0 Hayes Hill,2106,NSW,Australia,11
30,0 Hazelcrest Road,3025,VIC,Australia,8
31,0 Heath Point,2136,NSW,Australia,9
32,0 Holy Cross Court,4211,QLD,Australia,9
33,0 Kedzie Junction,2155,NSW,Australia,10
34,0 Knutson Crossing,2151,NSW,Australia,8
35,0 Lakeland Pass,3195,VIC,Australia,10
36,0 Lakewood Street,2144,NSW,Australia,10
37,0 Little Fleur Avenue,4031,QLD,Australia,8
38,0 Menomonie Avenue,3177,VIC,Australia,6
39,0 Michigan Plaza,2077,NSW,Australia,10
40,0 Mifflin Alley,4818,QLD,Australia,5
41,0 Moland Parkway,4127,QLD,Australia,7
42,0 Moose Court,2063,NSW,Australia,12
43,0 Mosinee Lane,3250,VIC,Australia,4
44,0 Moulton Plaza,2761,NSW,Australia,8
45,0 Namekagon Circle,3150,VIC,Australia,9
46,0 Nevada Pass,2216,NSW,Australia,10
47,0 Northport Court,4012,QLD,Australia,3
48,0 Northport Hill,3043,VIC,Australia,8
49,0 Orin Place,4506,QLD,Australia,7
50,0 Pearson Crossing,4405,QLD,Australia,1
51,0 Pierstorff Place,2770,NSW,Australia,8
52,0 Prairie Rose Place,3802,VIC,Australia,7
53,0 Ramsey Place,3444,VIC,Australia,4
54,0 Red Cloud Place,2217,NSW,Australia,8
55,0 Reinke Lane,3034,VIC,Australia,9
56,0 Rigney Way,2148,NSW,Australia,8
57,0 Ronald Regan Way,4870,QLD,Australia,1
58,0 Rowland Road,3036,VIC,Australia,9
59,0 Sachs Circle,4122,QLD,Australia,8
60,0 Scofield Plaza,3201,VIC,Australia,4
61,0 Shasta Terrace,2289,NSW,Australia,7
62,0 Sommers Circle,2145,NSW,Australia,9
63,0 Southridge Drive,4311,QLD,Australia,1
64,0 Stephen Lane,2170,NSW,Australia,5
65,0 Stephen Park,4702,QLD,Australia,2
66,0 Summerview Pass,4511,QLD,Australia,2
67,0 Summit Trail,2287,NSW,Australia,5
68,0 Superior Drive,2747,NSW,Australia,8
69,0 Superior Pass,2050,NSW,Australia,8
70,0 Talisman Trail,2769,NSW,Australia,10
71,0 Thackeray Avenue,2100,NSW,Australia,10
72,0 Thompson Road,3183,VIC,Australia,8
73,0 Transport Center,3977,VIC,Australia,6
74,0 Truax Trail,3677,VIC,Australia,5
75,0 Union Plaza,2444,NSW,Australia,7
76,0 Valley Edge Plaza,3201,VIC,Australia,6
77,0 Walton Court,2226,NSW,Australia,9
78,0 Warner Road,2680,NSW,Australia,4
79,0 Warrior Alley,2021,NSW,Australia,10
80,0 Waubesa Alley,2265,NSW,Australia,6
81,0 Weeping Birch Plaza,2093,NSW,Australia,12
82,0 Westend Park,2525,NSW,Australia,9
83,0 Westport Center,4558,QLD,Australia,4
84,0 Westport Terrace,4570,QLD,Australia,5
85,00 1st Trail,3223,VIC,Australia,7
86,00 5th Lane,2830,NSW,Australia,2
