product_id,brand_id,brand,product_line,product_class,product_size,standard_cost
2,4,Solex,Standard,medium,medium,53.62
3,5,Trek Bicycles,Standard,medium,large,388.92
37,3,OHM Cycles,Standard,low,medium,248.82
88,2,Norco Bicycles,Standard,medium,medium,381.10
78,1,Giant Bicycles,Standard,medium,large,709.48
25,1,Giant Bicycles,Road,medium,medium,829.65
22,6,WeareA2B,Standard,medium,medium,45.26
15,6,WeareA2B,Standard,medium,medium,13.44
67,4,Solex,Standard,medium,large,380.74
12,6,WeareA2B,Standard,medium,medium,161.60
5,5,Trek Bicycles,Mountain,low,medium,459.71
61,3,OHM Cycles,Standard,low,medium,56.93
35,5,Trek Bicycles,Standard,low,medium,154.40
16,2,Norco Bicycles,Standard,high,small,1479.11
79,2,Norco Bicycles,Standard,medium,medium,818.01
33,1,Giant Bicycles,Standard,medium,small,1167.18
54,6,WeareA2B,Standard,medium,medium,13.44
27,5,Trek Bicycles,Standard,medium,medium,388.72
82,1,Giant Bicycles,Road,medium,medium,829.65
89,6,WeareA2B,Touring,medium,large,57.74
64,5,Trek Bicycles,Standard,medium,large,596.55
19,5,Trek Bicycles,Mountain,low,medium,459.71
72,2,Norco Bicycles,Standard,medium,medium,270.30
91,6,WeareA2B,Standard,low,medium,513.85
1,1,Giant Bicycles,Standard,medium,medium,954.82
99,5,Trek Bicycles,Road,low,small,1531.42
0,2,Norco Bicycles,Road,medium,medium,376.84
92,6,WeareA2B,Standard,medium,small,1259.36
14,4,Solex,Standard,high,large,1105.75
44,6,WeareA2B,Standard,medium,medium,108.76
76,6,WeareA2B,Standard,low,medium,513.85
46,4,Solex,Standard,low,medium,74.51
55,5,Trek Bicycles,Road,medium,large,598.76
66,4,Solex,Standard,medium,medium,589.27
81,4,Solex,Standard,medium,medium,649.49
86,3,OHM Cycles,Standard,medium,medium,125.07
32,1,Giant Bicycles,Standard,medium,medium,211.37
77,2,Norco Bicycles,Road,medium,large,795.10
96,1,Giant Bicycles,Standard,medium,large,993.66
6,3,OHM Cycles,Standard,high,medium,136.73
47,5,Trek Bicycles,Road,low,small,1531.42
94,1,Giant Bicycles,Standard,medium,large,993.66
93,3,OHM Cycles,Standard,high,medium,874.90
60,1,Giant Bicycles,Standard,high,small,1759.85
28,2,Norco Bicycles,Standard,medium,small,1082.36
4,1,Giant Bicycles,Standard,high,medium,677.48
38,5,Trek Bicycles,Standard,medium,large,388.92
56,3,OHM Cycles,Standard,medium,medium,137.90
58,3,OHM Cycles,Standard,medium,medium,141.40
50,6,WeareA2B,Standard,medium,small,131.92
80,3,OHM Cycles,Touring,low,medium,933.84
87,1,Giant Bicycles,Standard,high,medium,707.40
84,1,Giant Bicycles,Road,medium,medium,594.68
21,4,Solex,Standard,medium,large,380.74
31,6,WeareA2B,Standard,medium,medium,205.36
62,4,Solex,Standard,medium,medium,298.72
17,4,Solex,Standard,high,medium,614.80
73,4,Solex,Standard,medium,medium,333.18
45,4,Solex,Standard,medium,medium,84.99
49,5,Trek Bicycles,Road,medium,medium,400.13
95,1,Giant Bicycles,Standard,medium,large,528.43
18,2,Norco Bicycles,Standard,high,medium,689.18
70,5,Trek Bicycles,Standard,high,medium,297.43
26,6,WeareA2B,Standard,medium,medium,762.63
39,1,Giant Bicycles,Standard,medium,large,582.48
36,4,Solex,Standard,low,medium,507.58
98,5,Trek Bicycles,Standard,high,medium,215.03
75,1,Giant Bicycles,Touring,medium,large,863.95
42,3,OHM Cycles,Road,medium,small,1610.90
20,5,Trek Bicycles,Standard,medium,small,1580.47
24,4,Solex,Road,medium,large,820.78
53,3,OHM Cycles,Standard,medium,medium,101.58
65,6,WeareA2B,Standard,medium,medium,778.69
29,6,WeareA2B,Standard,medium,medium,230.09
11,1,Giant Bicycles,Standard,high,medium,764.96
10,4,Solex,Standard,medium,medium,333.18
7,5,Trek Bicycles,Road,low,medium,234.43
41,4,Solex,Road,medium,medium,312.74
9,3,OHM Cycles,Road,medium,medium,667.40
69,1,Giant Bicycles,Road,medium,medium,594.68
90,2,Norco Bicycles,Standard,low,medium,290.41
97,4,Solex,Standard,medium,large,151.96
100,2,Norco Bicycles,Road,medium,medium,206.35
74,6,WeareA2B,Standard,medium,medium,400.91
71,4,Solex,Standard,high,large,1105.75
34,2,Norco Bicycles,Road,high,large,464.72
57,6,WeareA2B,Touring,medium,large,260.14
23,2,Norco Bicycles,Mountain,low,small,612.88
51,3,OHM Cycles,Standard,high,medium,1203.40
59,6,WeareA2B,Standard,medium,small,1259.36
63,4,Solex,Standard,medium,medium,99.59
40,3,OHM Cycles,Standard,high,medium,874.90
8,4,Solex,Road,medium,small,1516.13
13,4,Solex,Standard,medium,medium,589.27
30,4,Solex,Standard,high,medium,448.90
48,6,WeareA2B,Standard,medium,medium,950.52
68,3,OHM Cycles,Standard,medium,medium,44.71
83,4,Solex,Touring,medium,large,675.03
43,4,Solex,Standard,medium,medium,649.49
52,3,OHM Cycles,Road,medium,medium,829.51
85,6,WeareA2B,Standard,medium,medium,205.36
