profession_id,job_title,job_industry_category
1,Account Coordinator,Argiculture
2,Account Executive,Argiculture
3,Account Representative I,Financial Services
4,Account Representative II,Financial Services
5,Account Representative III,Entertainment
6,Account Representative IV,Argiculture
7,Accountant I,Entertainment
8,Accountant II,Entertainment
9,Accountant III,Financial Services
10,Accountant IV,Financial Services
11,Accounting Assistant I,Financial Services
12,Accounting Assistant II,IT
13,Accounting Assistant III,Entertainment
14,Accounting Assistant IV,Manufacturing
15,Actuary,Financial Services
16,Administrative Assistant I,Argiculture
17,Administrative Assistant II,Financial Services
18,Administrative Assistant III,Argiculture
19,Administrative Assistant IV,Argiculture
20,Administrative Officer,Argiculture
21,Analog Circuit Design manager,Financial Services
22,Analyst Programmer,Financial Services
23,Assistant Manager,Argiculture
24,Assistant Media Planner,Entertainment
25,Assistant Professor,Argiculture
26,Associate Professor,Argiculture
27,Automation Specialist I,Manufacturing
28,Automation Specialist II,Entertainment
29,Automation Specialist III,Manufacturing
30,Automation Specialist IV,Financial Services
31,Biostatistician I,Argiculture
32,Biostatistician II,Entertainment
33,Biostatistician III,Health
34,Biostatistician IV,Argiculture
35,Budget/Accounting Analyst I,Argiculture
36,Budget/Accounting Analyst II,Financial Services
37,Budget/Accounting Analyst III,Financial Services
38,Budget/Accounting Analyst IV,Entertainment
39,Business Systems Development Analyst,Argiculture
40,Chemical Engineer,Manufacturing
41,Chief Design Engineer,Financial Services
42,Civil Engineer,Manufacturing
43,Clinical Specialist,Health
44,Community Outreach Specialist,Entertainment
45,Compensation Analyst,Financial Services
46,Computer Systems Analyst I,Argiculture
47,Computer Systems Analyst II,Entertainment
48,Computer Systems Analyst III,Financial Services
49,Computer Systems Analyst IV,Financial Services
50,Cost Accountant,Financial Services
51,Data Coordiator,Entertainment
52,Database Administrator I,Argiculture
53,Database Administrator II,n/a
54,Database Administrator III,Financial Services
55,Database Administrator IV,Manufacturing
56,Dental Hygienist,Health
57,Design Engineer,Financial Services
58,Desktop Support Technician,Argiculture
59,Developer I,Financial Services
60,Developer II,Financial Services
61,Developer III,Financial Services
62,Developer IV,Health
63,Director of Sales,Argiculture
64,Editor,Argiculture
65,Electrical Engineer,Manufacturing
66,Engineer I,Manufacturing
67,Engineer II,Argiculture
68,Engineer III,Financial Services
69,Engineer IV,Argiculture
70,Environmental Specialist,Argiculture
71,Environmental Tech,Argiculture
72,Executive Secretary,Argiculture
73,Financial Advisor,Financial Services
74,Financial Analyst,Financial Services
75,Food Chemist,Health
76,General Manager,Argiculture
77,Geological Engineer,Manufacturing
78,Geologist I,Entertainment
79,Geologist II,Argiculture
80,Geologist III,Financial Services
81,Geologist IV,Entertainment
82,GIS Technical Architect,Argiculture
83,Graphic Designer,Entertainment
84,Health Coach I,Health
85,Health Coach II,Entertainment
86,Health Coach III,Health
87,Health Coach IV,Health
88,Help Desk Operator,Argiculture
89,Help Desk Technician,Argiculture
90,Human Resources Assistant I,Financial Services
91,Human Resources Assistant II,Financial Services
92,Human Resources Assistant III,Financial Services
93,Human Resources Assistant IV,Manufacturing
94,Human Resources Manager,Financial Services
95,Information Systems Manager,Argiculture
96,Internal Auditor,Entertainment
97,Junior Executive,Argiculture
98,Legal Assistant,Argiculture
99,Librarian,Entertainment
100,Marketing Assistant,Argiculture
101,Marketing Manager,Argiculture
102,Mechanical Systems Engineer,Argiculture
103,Media Manager I,Health
104,Media Manager II,Financial Services
105,Media Manager III,Financial Services
106,Media Manager IV,Argiculture
